id,day,month,price
319705,weekend,7,35.0
319705,weekend,8,35.0
319705,weekend,9,35.0
319705,weekend,10,35.0
319705,weekend,11,35.0
319705,weekend,12,35.0
325560,weekday,1,91.34782608695652
325560,weekday,2,99.0
325560,weekday,3,99.0
325560,weekday,4,99.0
325560,weekday,5,99.0
325560,weekday,6,123.04761904761905
325560,weekday,7,99.0
325560,weekday,8,99.0
325560,weekday,9,99.0
325560,weekday,10,99.0
325560,weekday,11,99.0
325560,weekday,12,99.0
325560,weekend,1,116.75
325560,weekend,2,123.0
325560,weekend,3,123.0
325560,weekend,4,123.0
325560,weekend,5,123.0
325560,weekend,6,140.11111111111111
325560,weekend,7,123.0
325560,weekend,8,123.0
325560,weekend,9,123.0
325560,weekend,10,123.0
325560,weekend,11,123.0
325560,weekend,12,123.0
329997,weekday,1,56.65217391304348
329997,weekday,2,73.45
329997,weekday,3,91.66666666666667
329997,weekday,4,89.5
329997,weekday,5,91.63636363636364
329997,weekday,6,102.28571428571429
329997,weekday,7,96.04347826086956
329997,weekday,8,91.9047619047619
329997,weekday,9,112.27272727272727
329997,weekday,10,110.0
329997,weekday,11,55.0
329997,weekday,12,55.0
329997,weekend,1,121.25
329997,weekend,2,121.25
329997,weekend,3,125.0
329997,weekend,4,125.0
329997,weekend,5,125.0
329997,weekend,6,125.0
329997,weekend,7,125.0
329997,weekend,8,125.0
329997,weekend,9,125.0
329997,weekend,10,125.0
329997,weekend,11,125.0
329997,weekend,12,125.0
340081,weekday,1,29.0
340081,weekday,2,29.0
340081,weekday,3,29.0
340081,weekday,4,29.0
340081,weekday,5,29.0
340081,weekday,6,29.0
340081,weekday,7,29.0
340081,weekday,8,29.0
340081,weekday,9,29.0
340081,weekday,10,29.0
340081,weekday,11,29.0
340081,weekday,12,29.0
340081,weekend,1,29.0
340081,weekend,2,29.0
340081,weekend,3,29.0
340081,weekend,4,29.0
340081,weekend,5,29.0
340081,weekend,6,29.0
340081,weekend,7,29.0
340081,weekend,8,29.0
340081,weekend,9,29.0
340081,weekend,10,29.0
340081,weekend,11,29.0
340081,weekend,12,29.0
366339,weekday,1,246.91304347826087
366339,weekday,2,225.0
366339,weekday,3,234.52380952380952
366339,weekday,4,226.8181818181818
366339,weekday,5,245.0909090909091
366339,weekday,6,264.6190476190476
366339,weekday,7,267.0
366339,weekday,8,267.0
366339,weekday,9,267.0
366339,weekday,10,267.0
366339,weekday,11,267.0
366339,weekday,12,267.0
366339,weekend,1,258.5
366339,weekend,2,225.0
366339,weekend,3,225.4
366339,weekend,4,229.875
366339,weekend,5,248.88888888888889
366339,weekend,6,289.3333333333333
366339,weekend,7,292.0
366339,weekend,8,292.0
366339,weekend,9,292.0
366339,weekend,10,292.0
366339,weekend,11,292.0
366339,weekend,12,292.0
371066,weekday,1,84.65217391304348
371066,weekday,2,79.5
371066,weekday,3,89.0
371066,weekday,4,94.0
371066,weekday,5,89.0
371066,weekday,6,95.66666666666667
371066,weekday,7,89.0
371066,weekday,8,89.0
371066,weekday,9,89.0
371066,weekday,10,89.0
371066,weekday,11,89.0
371066,weekday,12,89.0
371066,weekend,1,92.75
371066,weekend,2,92.125
371066,weekend,3,94.0
371066,weekend,4,110.25
371066,weekend,5,94.0
371066,weekend,6,108.44444444444444
371066,weekend,7,94.0
371066,weekend,8,94.0
371066,weekend,9,94.0
371066,weekend,10,94.0
371066,weekend,11,94.0
371066,weekend,12,94.0
395889,weekday,1,85.69565217391305
395889,weekday,2,69.0
395889,weekday,3,89.0
395889,weekday,4,92.68181818181819
395889,weekday,5,103.9090909090909
395889,weekday,6,107.85714285714286
395889,weekday,7,101.0
395889,weekday,8,101.0
395889,weekday,9,101.0
395889,weekday,10,101.0
