id,last_scraped,host_since,host_listings_count,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,bed_type,price,security_deposit,cleaning_fee,review_scores_rating,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,has_availability,is_review,days_host
31492711,2019-01-17,2015-11-28,2,f,f,District 6,36.181109864304375,-86.74723568933096,Entire home/apt,Guesthouse,4,1.0,1,Real Bed,80.0,0.0,50.0,100.0,2,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,1146
31493788,2019-01-17,2018-05-20,34,f,f,District 21,36.145081428712224,-86.82138955650683,Entire home/apt,Apartment,8,2.0,2,Real Bed,169.0,0.0,120.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,242
31508839,2019-01-17,2015-11-28,2,f,f,District 6,36.17975580132257,-86.74722128906296,Entire home/apt,Guesthouse,4,1.0,1,Real Bed,120.0,0.0,50.0,100.0,2,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,t,True,1146
31512008,2019-01-17,2016-06-27,1,f,t,District 19,36.16065412035968,-86.79071293553653,Entire home/apt,Apartment,4,1.0,1,Real Bed,99.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,flexible,f,f,t,False,934
31512736,2019-01-17,2019-01-12,1,f,f,District 21,36.15690617773436,-86.81697416349193,Entire home/apt,House,10,1.0,2,Real Bed,214.0,0.0,125.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,strict_14_with_grace_period,f,f,t,False,5
31521638,2019-01-17,2016-05-23,2,f,t,District 17,36.13613387370207,-86.76663600095114,Entire home/apt,Townhouse,10,3.5,3,Real Bed,405.0,400.0,175.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,strict_14_with_grace_period,f,f,t,False,969
31536755,2019-01-17,2015-07-13,2,f,t,District 6,36.16793248963576,-86.74734220580227,Entire home/apt,House,6,1.0,1,Real Bed,400.0,300.0,75.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,flexible,f,f,t,False,1284
31552783,2019-01-17,2018-12-16,2,f,f,District 30,36.05728524802727,-86.67869744632205,Private room,House,2,1.0,1,Real Bed,35.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,32
31554623,2019-01-17,2016-05-20,1,f,f,District 21,36.18019255262671,-86.80431763960732,Entire home/apt,House,8,2.5,4,Real Bed,179.0,0.0,200.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,972
31557106,2019-01-17,2017-03-03,1,f,f,District 19,36.17283750182252,-86.78549411576418,Entire home/apt,Apartment,4,1.0,1,Real Bed,150.0,0.0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,685
31557775,2019-01-17,2018-12-11,9,t,f,District 19,36.18075763322826,-86.78902713363914,Entire home/apt,Apartment,4,1.0,1,Real Bed,65.0,0.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,37
31558695,2019-01-17,2017-05-26,1,f,f,District 24,36.12193762484832,-86.84300471718593,Entire home/apt,House,5,2.0,3,Real Bed,450.0,200.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,601
31559990,2019-01-17,2018-12-11,9,t,f,District 19,36.17906748659553,-86.78884041332044,Entire home/apt,Apartment,4,1.0,1,Real Bed,65.0,0.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,37
31560686,2019-01-17,2016-07-22,98,t,f,District 5,36.200118870045664,-86.75323086528552,Entire home/apt,Condominium,10,3.5,3,Real Bed,99.0,300.0,175.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,909
31560907,2019-01-17,2019-01-14,1,f,f,District 19,36.16181977386812,-86.78442395421244,Entire home/apt,Apartment,4,1.0,2,Real Bed,299.0,500.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,3
31564130,2019-01-17,2019-01-14,1,f,f,District 19,36.16344006434461,-86.7804786157942,Entire home/apt,Apartment,4,2.0,2,Real Bed,399.0,500.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,3
31564512,2019-01-17,2013-12-28,6,f,t,District 19,36.16468789551939,-86.77563210779861,Entire home/apt,Loft,4,1.5,1,Real Bed,300.0,200.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,strict_14_with_grace_period,f,f,t,False,1846
31567384,2019-01-17,2016-11-14,1,f,f,District 19,36.17695570212955,-86.78721024397375,Entire home/apt,Condominium,4,1.0,1,Real Bed,239.0,0.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,moderate,f,f,t,False,794
31569618,2019-01-17,2018-05-28,2,f,f,District 3,36.285225183846,-86.78867439360975,Shared room,House,6,2.0,1,Real Bed,82.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,t,f,flexible,f,f,t,False,234
